nomcom;numdep;insee;geo_point_2d;geo_shape;shape_leng;shape_area
Ferté-sous-Jouarre (la);77;77183;48.9540164057, 3.12762174384;"{""type"": ""Polygon"", ""coordinates"": [[[3.117060090298667, 48.93627114130246], [3.118894718385898, 48.944677350884334], [3.102782711485238, 48.95021362413774], [3.110125920694618, 48.962014122043165], [3.104646479977426, 48.96721659294817], [3.11246689380997, 48.970968291063315], [3.122574310054025, 48.976704435816146], [3.127600471009354, 48.976357489867766], [3.140557958947998, 48.9589428937525], [3.137087122573692, 48.95289502401532], [3.150689619384521, 48.949218773362524], [3.152510353353002, 48.946221976509385], [3.167052890502525, 48.94708385745254], [3.158305079999765, 48.93926324738636], [3.151151352526941, 48.943669828036704], [3.135774188770658, 48.93638629133315], [3.117060090298667, 48.93627114130246]]]}";16390.143103;9868752.49999
Saintry-sur-Seine;91;91577;48.5930107359, 2.4941919266;"{""type"": ""Polygon"", ""coordinates"": [[[2.482368683850595, 48.582567292334545], [2.490357142177879, 48.60735716018246], [2.499562378783553, 48.60503043392844], [2.504735654305192, 48.58580190064974], [2.508874108541508, 48.58402894984859], [2.482368683850595, 48.582567292334545]]]}";8040.93280285;3060650.5
Chailly-en-Brie;77;77070;48.7924119914, 3.13372765274;"{""type"": ""Polygon"", ""coordinates"": [[[3.150110869805231, 48.7628798651274], [3.134650173514582, 48.75524440269094], [3.129331854933117, 48.760826564209154], [3.119417025916617, 48.76187119655249], [3.124725330427012, 48.77438531568852], [3.105397170831704, 48.78506162095981], [3.10311569859685, 48.79449805685296], [3.105429826950949, 48.8079595485607], [3.114205920191496, 48.811288110773965], [3.154578690724071, 48.815298829866904], [3.163617631380885, 48.81853347295328], [3.165252722845984, 48.81879203687986], [3.162623590090389, 48.78801036108079], [3.13680089839547, 48.78698144689288], [3.138017726137873, 48.77361521266763], [3.150110869805231, 48.7628798651274]]]}";21680.6240935;17960562.0
Chapelle-Moutils (la);77;77093;48.7774367045, 3.38271618157;"{""type"": ""Polygon"", ""coordinates"": [[[3.388210819956143, 48.74385134147963], [3.386461283107222, 48.74082596399197], [3.376694846257331, 48.74047942144901], [3.373544110388331, 48.74296273219429], [3.381032445088444, 48.75160945990327], [3.354206484935717, 48.76711688136597], [3.36128391975505, 48.77927351852811], [3.358961508039247, 48.78589103037927], [3.353833311177874, 48.78632903706921], [3.359374007387939, 48.79835522288003], [3.368896579922803, 48.797354883842], [3.38902389156324, 48.81100651921717], [3.409628032848291, 48.79038691458211], [3.409984005537565, 48.78372122388411], [3.397129584668647, 48.76139657699937], [3.399107735077215, 48.75500416709983], [3.394421510375257, 48.74688002105199], [3.388210819956143, 48.74385134147963]]]}";20379.8298369;19215456.5
Vert;78;78647;48.9403014358, 1.68320274306;"{""type"": ""Polygon"", ""coordinates"": [[[1.660186183674842, 48.93262527638241], [1.665150680486089, 48.940775130832996], [1.694827621004398, 48.952371071494134], [1.694269551887151, 48.94577262891752], [1.698418442664406, 48.94366825534049], [1.702883115020421, 48.942574452149344], [1.70282080179191, 48.936314133469985], [1.673836359984267, 48.933181835982424], [1.660186183674842, 48.93262527638241]]]}";8821.49136951;3717058.5
Mormant;77;77317;48.5977701825, 2.88204553613;"{""type"": ""Polygon"", ""coordinates"": [[[2.909158301352886, 48.57040814879508], [2.879269362669384, 48.57691223314767], [2.872749228170274, 48.58234762909885], [2.869286238520719, 48.59554895758363], [2.854705318806692, 48.59170907022764], [2.853097530935595, 48.59445964644054], [2.843079969468872, 48.60225471654757], [2.843697197494698, 48.60902889119474], [2.858655634598141, 48.61018996939791], [2.866840267350899, 48.618852688653554], [2.871272166118784, 48.6206835584646], [2.876481437439704, 48.620949931349], [2.88670092697218, 48.61949389772555], [2.903511517440022, 48.611638003823494], [2.906175623723451, 48.608653751194424], [2.906168265072622, 48.605190613069816], [2.902538358408726, 48.59516704521893], [2.909151647640024, 48.589883066310605], [2.909773628799343, 48.58302912153326], [2.909158301352886, 48.57040814879508]]]}";18110.7235781;16329920.0
Moussy-le-Vieux;77;77323;49.047876566, 2.62361968974;"{""type"": ""Polygon"", ""coordinates"": [[[2.610870139912926, 49.031410297965174], [2.601309902534846, 49.03516450623582], [2.600761460780564, 49.04779613215353], [2.617333254072881, 49.054369037383566], [2.625085784349739, 49.062575851680876], [2.63473482989057, 49.064170103149515], [2.644442463624725, 49.06329107144283], [2.64323345934904, 49.04409930881135], [2.610870139912926, 49.031410297965174]]]}";11043.5764012;7335092.0
Ville-d'Avray;92;92077;48.8215895592, 2.17761311514;"{""type"": ""Polygon"", ""coordinates"": [[[2.161274834107939, 48.81278066375281], [2.150744478965477, 48.81884926644506], [2.171025535365626, 48.82391130606726], [2.180795305092002, 48.830625147402394], [2.199430485648876, 48.82978899449038], [2.198712050159722, 48.82335353462436], [2.178523499163135, 48.81486112614659], [2.176739232045641, 48.814012408000664], [2.161274834107939, 48.81278066375281]]]}";8805.05784929;3744243.99999
Lumigny-Nesles-Ormeaux;77;77264;48.719582466, 2.95371291045;"{""type"": ""Polygon"", ""coordinates"": [[[2.94669393958945, 48.686933886838354], [2.931462754215241, 48.68908479516647], [2.91462321705322, 48.701990005093926], [2.917663278263519, 48.7043846585733], [2.905316200771002, 48.7088637028086], [2.922851028224453, 48.72503911653203], [2.912373017825022, 48.73112997271718], [2.912750464130579, 48.74121271291549], [2.927070380345019, 48.750639133269615], [2.94110318834871, 48.75385775191182], [2.937196712095406, 48.756095272388876], [2.936771371335023, 48.75911703185718], [2.941068857972915, 48.760171525757734], [2.950345521453051, 48.76127300766458], [2.953914920711718, 48.75542834312429], [2.967779966211876, 48.7486963521845], [2.969367618060623, 48.731697858394796], [2.999197877033133, 48.72801415906145], [3.003398737182201, 48.7266469900686], [3.009581824037699, 48.71239070012402], [2.977488975728916, 48.68996583803281], [2.96849703950203, 48.68730142098655], [2.955954725162841, 48.69159683103517], [2.946364540741624, 48.69021674325029], [2.94669393958945, 48.686933886838354]]]}";27483.0287408;37409368.0
Chevreuse;78;78160;48.707150143, 2.03714431459;"{""type"": ""Polygon"", ""coordinates"": [[[2.037629292827111, 48.68022007128578], [2.029656784075738, 48.68454514280374], [2.020820820723457, 48.69645453032311], [2.023426095977735, 48.7031952529981], [2.002901161240054, 48.7140984205684], [2.004349825386704, 48.72082080531677], [2.034217400200261, 48.72594152019315], [2.061828414781667, 48.72302254670677], [2.066560867328435, 48.71761773320334], [2.055518385498726, 48.69981964818535], [2.055658738541333, 48.68678680606566], [2.045836488373521, 48.686780582203475], [2.042551609691257, 48.6806914703136], [2.037629292827111, 48.68022007128578]]]}";16116.2568041;14108071.5
Granges-le-Roi (les);91;91284;48.4981066436, 2.01059778399;"{""type"": ""Polygon"", ""coordinates"": [[[2.017785106698451, 48.48124605895462], [1.998991815784815, 48.48249264260903], [1.991581326565326, 48.486433511946494], [1.992615927604017, 48.4896451282151], [1.984770357233103, 48.493608862972266], [1.978253014839369, 48.505770466566176], [1.995072017480497, 48.514055801073546], [2.020784831699302, 48.5170323704831], [2.032328287219423, 48.50129303082247], [2.046706708386302, 48.48705067177692], [2.017785106698451, 48.48124605895462]]]}";14184.8356856;12795446.0
Jouy-le-Châtel;77;77239;48.6642848062, 3.13507230422;"{""type"": ""Polygon"", ""coordinates"": [[[3.10226474008908, 48.624262259373864], [3.103612108751579, 48.66746340832902], [3.105194176894185, 48.691117842538645], [3.117950160245659, 48.69669149363518], [3.126340230362202, 48.70511969348664], [3.135684015281592, 48.70815853579167], [3.145518926489247, 48.70659091426861], [3.156656068957646, 48.69990293922107], [3.154391539677861, 48.69688374904256], [3.161251502701178, 48.69196367353744], [3.172221349573559, 48.65666228908848], [3.176573649844355, 48.654928918948094], [3.17353891990901, 48.64457131477508], [3.162018996240397, 48.6371307557148], [3.12297332538464, 48.62564590229604], [3.10226474008908, 48.624262259373864]]]}";24840.7465883;37278215.5
